2025/11/06 22:48:23 [emerg] 29756#19700: duplicate location "/" in D:\settle\SRC\Infra\nginx-1.28.0/conf/nginx.conf:48
2025/11/06 22:49:09 [emerg] 21740#11868: duplicate location "/" in D:\settle\SRC\Infra\nginx-1.28.0/conf/nginx.conf:48
2025/11/06 22:49:57 [emerg] 3756#25464: duplicate location "/" in D:\settle\SRC\Infra\nginx-1.28.0/conf/nginx.conf:48
2025/11/06 22:50:19 [error] 34376#27460: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://[::1]:4200/login", host: "localhost"
2025/11/06 22:51:00 [error] 16388#25012: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://[::1]:4200/", host: "localhost"
2025/11/06 22:51:57 [error] 16388#25012: *57 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /styles.css HTTP/1.1", upstream: "http://[::1]:4200/styles.css", host: "localhost", referrer: "http://localhost/splash"
2025/11/06 22:52:26 [error] 16388#25012: *87 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.5, server: localhost, request: "GET /styles.css HTTP/1.1", upstream: "http://[::1]:4200/styles.css", host: "192.168.1.3", referrer: "http://192.168.1.3/login"
2025/11/06 22:54:37 [error] 5096#33444: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /splash HTTP/1.1", upstream: "http://[::1]:4200/splash", host: "localhost", referrer: "http://localhost/splash"
2025/11/06 22:54:53 [error] 5096#33444: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /@vite/client HTTP/1.1", upstream: "http://[::1]:4200/@vite/client", host: "localhost", referrer: "http://localhost/splash"
2025/11/06 22:56:04 [error] 5096#33444: *51 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://[::1]:8000/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://localhost/"
2025/11/06 22:56:05 [error] 5096#33444: *55 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://[::1]:8000/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://localhost/"
2025/11/06 22:56:06 [error] 5096#33444: *59 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://[::1]:8000/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://localhost/"
2025/11/06 22:56:55 [error] 5096#33444: *74 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://127.0.0.1:8000/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://localhost/"
2025/11/06 22:56:55 [error] 5096#33444: *79 no live upstreams while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://localhost/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://localhost/"
2025/11/06 22:56:55 [error] 5096#33444: *79 no live upstreams while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://localhost/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://localhost/"
2025/11/06 22:56:56 [error] 5096#33444: *79 no live upstreams while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://localhost/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://localhost/"
2025/11/06 22:56:56 [error] 5096#33444: *79 no live upstreams while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://localhost/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://localhost/"
2025/11/06 22:56:56 [error] 5096#33444: *79 no live upstreams while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://localhost/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://localhost/"
2025/11/06 22:56:57 [error] 5096#33444: *79 no live upstreams while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://localhost/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://localhost/"
2025/11/06 22:56:57 [error] 5096#33444: *79 no live upstreams while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://localhost/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://localhost/"
2025/11/06 22:56:57 [error] 5096#33444: *76 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://127.0.0.1:8000/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://localhost/"
2025/11/06 22:56:57 [error] 5096#33444: *76 no live upstreams while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://localhost/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://localhost/"
2025/11/06 22:56:57 [error] 5096#33444: *74 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://[::1]:8000/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://localhost/"
2025/11/06 22:56:57 [error] 5096#33444: *74 no live upstreams while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://localhost/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://localhost/"
2025/11/06 22:57:02 [error] 5096#33444: *74 no live upstreams while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://localhost/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://localhost/"
2025/11/06 22:57:06 [error] 5096#33444: *74 no live upstreams while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://localhost/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://localhost/"
2025/11/06 22:57:06 [error] 5096#33444: *74 no live upstreams while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://localhost/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://localhost/"
2025/11/06 22:57:06 [error] 5096#33444: *74 no live upstreams while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://localhost/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://localhost/"
2025/11/06 22:57:06 [error] 5096#33444: *74 no live upstreams while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://localhost/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://localhost/"
2025/11/06 22:57:06 [error] 5096#33444: *74 no live upstreams while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://localhost/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://localhost/"
2025/11/06 22:57:07 [error] 5096#33444: *74 no live upstreams while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://localhost/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://localhost/"
2025/11/06 22:57:07 [error] 5096#33444: *74 no live upstreams while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://localhost/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://localhost/"
2025/11/06 22:57:07 [error] 5096#33444: *74 no live upstreams while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://localhost/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://localhost/"
2025/11/06 22:57:10 [error] 5096#33444: *74 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.3, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://[::1]:8000/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://localhost/"
2025/11/06 23:01:30 [error] 5096#33444: *98 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.5, server: localhost, request: "GET /@vite/client HTTP/1.1", upstream: "http://[::1]:4200/@vite/client", host: "192.168.1.3", referrer: "http://192.168.1.3/login"
2025/11/06 23:01:55 [error] 5096#33444: *103 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.5, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://[::1]:8000/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://192.168.1.3/login"
2025/11/06 23:03:14 [error] 5096#33444: *126 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 192.168.1.5, server: localhost, request: "POST /userManagment/authenticate/ HTTP/1.1", upstream: "http://[::1]:8000/userManagment/authenticate/", host: "192.168.1.3", referrer: "http://192.168.1.3/login"
